timestamp,provider,area,outages,customers
"2025-12-16T23:00:00Z","Xcel Energy","ADAMS",4,11
"2025-12-16T23:00:00Z","Xcel Energy","ARAPAHOE",1,1
"2025-12-16T23:00:00Z","Xcel Energy","BOULDER",1,9
"2025-12-16T23:00:00Z","Xcel Energy","CLEAR CREEK",1,1
"2025-12-16T23:00:00Z","Xcel Energy","DENVER",5,155
"2025-12-16T23:00:00Z","Xcel Energy","GARFIELD",2,58
"2025-12-16T23:00:00Z","Xcel Energy","JEFFERSON",3,69
"2025-12-16T23:00:00Z","Xcel Energy","RIO GRANDE",1,16
"2025-12-16T23:00:00Z","Xcel Energy","SUMMIT",1,2
"2025-12-16T23:00:00Z","Xcel Energy","WELD",3,5
"2025-12-16T23:00:00Z","Black Hills Energy","Cheyenne South",1,1
"2025-12-16T23:00:00Z","Black Hills Energy","Pueblo North",1,1
"2025-12-21T02:00:00Z","Xcel Energy","ADAMS",1,1
"2025-12-21T02:00:00Z","Xcel Energy","BOULDER",102,11957
"2025-12-21T02:00:00Z","Xcel Energy","BOULDER, LARIMER",1,943
"2025-12-21T02:00:00Z","Xcel Energy","CLEAR CREEK",2,2
"2025-12-21T02:00:00Z","Xcel Energy","CLEAR CREEK, JEFFERSON",1,370
"2025-12-21T02:00:00Z","Xcel Energy","DENVER",3,3
"2025-12-21T02:00:00Z","Xcel Energy","GILPIN, CLEAR CREEK, JEFFERSON",1,891
"2025-12-21T02:00:00Z","Xcel Energy","JEFFERSON",18,5173
"2025-12-21T02:00:00Z","Xcel Energy","JEFFERSON, CLEAR CREEK",2,2799
"2025-12-21T02:00:00Z","Xcel Energy","LAKE",1,4
"2025-12-21T02:00:00Z","Xcel Energy","LARIMER",1,1
"2025-12-21T02:00:00Z","Xcel Energy","RIO GRANDE",1,1
"2025-12-21T02:00:00Z","Xcel Energy","WELD, BOULDER",1,54
